Job Title,Key Skills
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore, motor insurance| insurance sales| insurance broking| general insurance
Spring Boot,SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system
 Sr. Engineer Design (Mechanical), CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD
 Senior Manager Cost & Program Management, Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning
 Manager Sales Commercial Segment, business development management| Sales Management
 Outbound Sales Executive, Outbound Sales| tele sales| Sales Executive Activities
 US Tech Process, Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus
" Community Manager,", Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management
 Software Engineer- Mobile Applications - Android, financial s| windows| android| mobile development
 Hardware Board Design Engineer, Hardware Board Design| Mixed Signal| Design Engineering
 Corporate Head - Operations, environment| functional| operations| business| verbal communication| coaching| analytical skills
 HR Recruitment Executive, Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment
 Software Engineer Android, java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications
 Sales Coordinator, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales
 Ecommerce Executive, BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process
 Team Lead / Dev Lead, J2Ee| Core Java| jQuery| ERP| Tomcat| Eclipse| Open source| Selenium| Computer science| OFBIZ
 Andriod Developer, Android Development| Android Studio| Java| Troubleshooting| API Testing| API
 Physics Teacher, Counselor| Mentor| Trainer| Advisor| Teaching
 Manager Sales &amp; Marketing, lead generation| branding| business development| Sales Management| market research| competitive intelligence| market analysis| Marketing
 Design Engineer, Wireless| Automation| Simulation| Networking| Aerospace| FPGA| Coding| System verilog| Automotive| Physical design
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW , hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| IT
 Associate, Associate
 Receptionist (Female), Receptionist| Administration| Front Desk| Travel Arrangements| Front Office| Computer Operating
 Senior .NET Developer, javascript| html| sql server| ajax| jquery| soa| oop| english| proactive| asp net c
 Sales Manager : School & Higher Academic Books, marketing executive| Sales| distributors| customer profiling| sales strategy| market research| Business Development| sales executive
 Supply Chain - Import Export Executive, QMS| Impex| Environmental Management System| Warehouse Management System| Export Import Logistics
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi, Java| core java| J2EE| Hibernate| Spring| LDAP| ADFS| Json| SOAP| jQuery| REST| Javascript| Java Web Services| Java Api| Advanced Java| MVC| Web Services| Open Source| SOA| Cloud| spring integration
 Hiring for Spring Boot Developer-noida, spring boot| spring security| spring mvc
 Dynamic CRM Architect, Dynamics CRM| .Net| Azure| Visual Studio| Microsoft Dynamics| Solution Management| Root Cause| microservices| .NET development
 SE / SSE - DATA,vide
 Hiring for Accounts Manager (business Development)- Radio In, Marketing Strategy| Strategic Thinking| Interpersonal Communication| Sales| Promotions| Accounting| Account Management| Team Leading| Business Development Management| Advertising
Urgent Openings for O2C,O2C|OTC|Order Management|Credit Management|Communication Skills
 ARCHITECTURAL CAD, visualization| m e p| modeling| drafting| design development| drawings| cad| preparation| quality
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division", pnr| primetime| sta| floorplan| timing closure| synthesis| vlsi| Physical design| floor planning
 Assistant Manager Purchase, Assistant Manager Purchase
 Sr. Cloud Developer, SQL| Python| Analytics| Machine learning| Solution architecture| Analytical| SCALA| Cosmos| Programming| Data warehousing
 Hiring for Manager Quality ( Voice and Chat), BPO| Transactional Quality| Quality Management| Quality manager| manager Quality
" South Indian Cook,",vide
 Sharepoint Support Engineer, IIS| Exchange Server| Windows Server| WSS| Sharepoint| Active Directory
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai, pharma chemicals| business development| api| intermediates| sales
 Java- Technical Lead- Tavant Technologies - Hyderabad, Hibernate| Design Patterns| Cloud| Spring Boot| Team Leader| core java| Web Services| Microservices
 Hiring For Oracle Apps DBA@ Hyderabad, Exadata| performance tuning| 11g| patching| sql| dataguard| rac| cassandra| oracle database| Weblogic| ebs| asm| apps dba| cloning
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14, hospital| pharma| pharmacy
" Agency Manager || Life Insurance ||ahmedabad , Bhopal , Vadodara", Sales| insurance sales| agency sales| Direct sales| life advisor| channel sales| life insurance advisor| life insurance| agency
 HR Trainer, Training Needs| Soft Skills| Accent| HR| Feedback| Coaching| Customer Service| Process Compliance
 Project Manager For Civil Work, Real Estate Construction| Project Management| Interpersonal Communication| Communication Skills| Project Manager| Project Coordinator| site coordinator
 Vacancy For Motion Graphic Artist, Graphics| Multimedia| Visualization| Infographics| Social Media| Adobe After Effects| Protools| Photoshop| Graphic Designing| English Language
 Business Associate, international bpo| Chat Process| voice based process| tele caller| process developer| Sales| b.a| exl| communication skills| Ba| Blended Process| bba| wipro| tcs| bbm| customer support| bcom| cse| accenture| Fresher| wns
 Project Support Officer/Administrator, project support| Banking| Maya| E-commerce| big data
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City", Networking| It Asset| Antivirus| Hardware Troubleshooting
 Procurement - MDM, Procurement| Business process| IT services| Automation| data services| Master data management| Consulting| Vendor| Troubleshooting| Business Executive
 If You're an Experienced in International Tech Sales Then Call Us / In, Recruitment| Outbound| Technical support| English| Comp| Email| Troubleshooting| Domestic BPO| International BPO| Inbound calls
 Senior Game Artist, Photoshop| Illustrator| Fine arts| Software design| User interface designing| game development| creative content| Supervision| Relationship Executive| Business Executive
 Manager (PR), marketing| project management| PR| project planning
 Senior Engineer Project, Leadership training| Software development life cycle| Management
 PERL Developer, Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta", apache camel| Administration| Technical Support| redhat| Activemq
 Wire Industry, customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development
 Manager Brand Marketing, customer segmentation| Brand management| Strategic partnerships| Brand marketing| Consumer insights| Performance appraisal| Operations| Promotional strategies| Marketing strategy| Recruitment
 Oracle Fusion Apps_manufacturing_any Location, Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory
 VP / Sr.vp Fire, Fire Safety| fire| Senior Management
 Data Science Engineer, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python
Executive - Lab Instruments Maintenance,Installation|Breakdown Maintenance|Preventive Maintenance
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi, dot matrix| printer| printer support| Laserjet| Hardware
 When you need a Roof you need a job. Come work with us, Outbound| Technical Support Associate| Email| Technical| US shift| Medical| Antivirus| Troubleshooting| Technical support| Comp
 Senior Data Analyst, Reporting| Data Analysis| Business Analytics| Data Analytics| kpo
" Java / J2EE, Web Services also experienced in AngularJS", HTML| XML| Ajax| rest| Prototype| technical| developing| JSON| application architecture| SDLC| javascript| jQuery| Web services| java| application| web| design| Web designing| architecture| applications
 Senior US IT Recruiter / Senior US Recruiter, us it recruiter| us it recruitment| us it staffing| us staffing| us technical recruiter| us recruitment
 Service Engineer - Bhiwadi, service engineering| maintenance| breakdown| shutdown| amc| installation| repair| troubleshooting| field service engineer| Preventive Maintenance| breakdown maintenance| Field Engineer| Electrical Engineer
 Sales Manager, enterprise sales| relationship building| new business| sales strategy| B2B Sales| marketing management| cross selling| product marketing| consultative sales| b2b marketing| service sales| Corporate Sales| Key Accounts Manager
 Accounts Executive For 1-2 Years Experience, accounts executive| Accounting| accounts| finance
 Inbound Tour Manager, inbound| costing| selling| good communication| good communication skills| tickets| tour| experience| manager| packages
 Swimming Pool Technician, Monthly Reports| Maintenance| Technician Activities| Water Quality
Data Science Manager,kaggle|NLP|data science|Artificial Intelligence|Natural Language Processing|analytical techniques|Text Mining|big data|machine learning|Deep Learning
 Associate Vice President - Talent Acquisition - Campus Hiring Program, Talent Acquisition| Recruitment| HR| Campus Hiring| recruitment| recruiting
 Governance & Performance-Performance Management-Professors, Counselor| Mentor| Trainer| Advisor| Teaching
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)", project sales| Architects| Sales Operations| Sales Management| distributor| interior designers| Area Management| contractors| Area| Developers| consultants| dealer| territory management| Sales Manager
 Operations - SME / Retail, Retail| marketing executive| distributors| customer profiling| sales strategy| SME| market research| Business Development| Operations| sales executive
 Assistant Manager - HR Operations,vide
 Sr. Sales / Sales Executive, Manager Sales| Sales Manager| assistant sales manager| MICE| Travel Agent| Senior Sales Executive| senior sales officer| Corporate Sales| Hotel Sales| Room Sales| Sales Executive
 Senior Business Analyst - Sql/python, data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst
" .NET Developer (asp.net, MVC, C#)", C#| CSS| XML| Asp Net| Javascript| Web Application| MS SQL Server| .Net| MVC| ASP.Net MVC| JQuery| Ajax
 Head- Land Management., land acquisition
 Sr. Business Analyst, Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL
 CNC Machine Operator, cnc| cnc operator| cnc maintenance| cnc programming
 Executive, Medical Representative| Senior Executive
 Presales Manager - Networking, Sales Engineer| solution architect| Presales| solution consultant| Technology Consultant
 Inside Sales Executive, Inside Sales| Lead Generation| Cold Calling| New Business| Customer Service| Proposal Writing| Follow Ups| Sales Executive Activities| Communication Skills| Convincing Power
 Customer Care Executive, Customer Care| Inbound Process| Night Shift| Customer Care Executive| Customer Care Officer| BPO| Domestic BPO| International BPO
 HR - Talent scout specialist, Performance management| Analytical| Design development| Conceptualization| HR| Continuous improvement| Sales support| Recruitment| Testing
 Sr. Sales Manager, Service delivery| Bfsi| enterprise mobility| Market intelligence| Tools| Application development| Sales process| microsoft| Middleware| Business Executive
 Laundry Executive, laundry
 Accounts executive, TDS| Financial statements| Invoice processing| business opportunity| Interpersonal skills| Tally ERP| Accounting| Analytical| Accounts receivable| Recruitment
 MBA HR - Experience, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
 System Analyst, T-SQL| Web technologies| data manipulation| MIS| XML| Data structures| System Analyst| JSON| Scripting
 Account Assistance, Audit| Credit Officers| Internal audit| Accounting| Finance| Tax| Accounts| Risk Management
 Senior Embedded Engineer, gsm| ethernet| development| optimization| product development| troubleshooting| gps| lcd| embedded| spi
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai, Fortigate| Networking| Routing| Hyper - V| Dlp| Sophos| Windows| Virtualization| Switching| Firewall
 Java Developer, Java| Spring Boot| Web Services| Microservices
 Sr. Software Engineer Android/Hybrid, SQL| Android| jQuery| UML| Coding| Graphics| JSON| Test cases| System testing| SQLite
 Principal Engineer-Piping, HVAC| Architecture| Project management| CAD| thermal| Conceptualization| Instrumentation| Autodesk| Food processing| Project delivery
 Business Analyst - Structured Finance, electronic trading| structured finance| dcf| equity research| bloomberg| investment banking| business analysis| bonds| valuation| advanced excel| hedge fund| financial modelling| structured products| fixed income
Solution Architecting,Product management|Analytical skills|software architecture|Prototype|Business analysis|Manager Technology|Outsourcing|Resource management|Operations|Solution architecting
 Sales / Business Development, Sales Head| Hospitality| Office automation| Residential sales| Sales strategy| Bfsi| management| Real estate sales| Flex| Executive search
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)", biotechnology| microbiology| nursing| biomedical| medical coding| medical coder| pharmacy| life sciences
 Consultant, Com| Application support| Email| SAP IS-Utilities| level| Billing| change| Service| CRM| Entry level
 Network & Security Architect- Pune, Network
 Business Development Manager, ERP| RF| Action plan| Relationship| Software sales| Business planning| B2B Sales| RFQ| RFP| CRM
 Assistant Vice President - Stock Broking - Delhi, Equity| Currency| Mutual Funds| Commodities| Stock Broking| New Client Acquisition| Business Generation| Channel Distribution| Team Management| team handling| sales
,Java|Trainer|Java|trainer|Trainer|java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|JAVA|TRAINER|JAVA|TRAINER|Java|Trainer|Java|Trainer|Java|Trainer|trainer|Trainer|Trainer|Java|Trainer|Java|Trainer|Trainer|Java|Java|Trainer|Java|Trainer|Java|Trainer|JAVA|TRAINER|Java|Trainer|Java|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Java|Java|Java|trainer|Java|Java|Java|Trainer|JAVA|Java|Java|Trainer|Java
 Production Manager in Press Shop & Projection Welding, Production Management| Weld Shop| Press Shop| pressing| sheetmetal
 salesfoce Developer +3Years / Mumbai, Salesforce Developer| sfdc developer| Salesforce
 Social Media Executive, website| facebook| online| Twitter| seo| internet| search engine optimisation
 Business Advisor,vide
" IT Recruiter, Technical Recruiter", head hunting| talent acquisition| Recruitment Executive| it recruitment| screening| technical recruitment| hiring| recruitment consultant| recruitment| sourcing| excel powerpoint| staffing
 SAP PLM Consultant - SAP MM Module, SAP PLM| SAP MM| SAP EHS
 Python Manager - IIT/ IIM/ DSE/ ISI, Microstrategy| Business Intelligence| Cognos| Business Objects| Tableau| AWS| Python| SQL
 Marketing Manager - Activation - Iit/nit, Marketing| Event Management| Brand Management
 Hiring .Net Developers for Hyderabad Location, asp.net| ado.net| MVC
 Senior BI Cognos Developer, SQL| Oracle| Cognos| Business intelligence| Automotive| Supply chain| DBMSTools| metadata
 Technical Support Engineer, Technical support| SAN| Veritas| Data management| NetBackup| Windows OS| WebEx| Unix operating system| TCP/IP| IT infrastructure
 Senior Drupal Developer, Drupal| Linux| MySQL| Python| Consulting| Procurement| Monitoring| Front end| Backend| Django
 Pre Sales Executive, Presales| Real Estate Sales| Residential Sales| Sales Executive Activities
 Head - Sales &amp; Strategy (telematics), b2b sales| team management| kam| commercial vehicle| sales strategy| enterprises sales
 Content Writer Required for a Monthly Magazine, Editing| proof reading| content writer| editor| Articles| Article Writing| Content Editor| Journalism| Mass Communication| Copywriter| Associate Editor| Sub Editor| English Writing| Research| Social Media
 Sales Engineers, set| eee| interpersonal skills| selling| sales marketing| travel| marketing management| hardware
 Senior Laravel Developer, MySQL| Wordpress| Javascript| Flex| CMS| PHP| HTML| JSON| Joomla| Ajax
" Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k", MBBS| B.sc| Biotech| Dermatology| Rheumatology| ENT| BDS| Medicine| Pathology| Immunology| Medical Transcription| Radiology| Genetics| BAMS| MDS
 Hub-Incharge Bangalore, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
" QA - Associate , - Business - Operations - DM", QA| Data management| GDB| Fixed income| Data quality| HTTP| Operations| Python
 Staff Nurse, Nursing| NICU| Medical | patient care| Nurse
 Back Office Executive|data Entry Operators|domestic BPO, back office processing| BPO| part time| data entry| computer operator| backend| non voice| chat process| account| marketing| inbound process
 Sr Equity Advisor - 5 nos, shares| market research| communication skills
 Data Scientist - Sql/nosql, SQL| NoSQL| R| Python| Scala| Data Visualization| Machine Learning| Data Science| Data Modeling| Algorithm
 Hiring For Day Shift Non Voice Sal. Up To 24K, international bpo| IT Helpdesk| freshers| customer care| international voice| call center| customer support| technical helpdesk| service desk| bpo fresher| uk| us| communication skills
,vide
 React.js Developer, jQuery| MySQL| Struts| Javascript| Database| JSF
 Requirement in Private bank for BDE, Business Development| Sales| Bde| New Business| Business Analyst| Business Development Manager| Business Development Executive| Senior Business Analyst| Sales Manager| Banker| Private Banker| Sales Officer
 Physics- TGT, Counselor| Mentor| Trainer| Advisor| Teaching
 Technical Sales Executive -mumbai, sales engineer| Technical Sales| Sales Executive Activities
 Urgent Opening - Hp-ux Administrator, Unix
 Support Executive, Interpersonal skills| Direct marketing| IT hardware| Management| Support Executive
 J. Stores - Manager, Analytical skills| Technical| Educational qualification| Stores| Management| Forecasting| Electricals| Inventory| Cables| Organization skills
 Product Manager, product management| product pricing| sales| market research| user experience| marketting| asm| tsm| sales manager
,vide
 Draughtsman, AutoCAD| Costing| Draughtsman| Civil| 3D
 Senior Java Tech Lead - Spring Boot/ Data Structure, Java| SOA| TDD| SaaS| J2EE| Spring Boot| API| Algorithm| Data Structure
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas, Mba Finance| Auditing| Internal Audit| SOX| Audit Compliance| Compliance
 ETL Datastage Developer, Technical Management| Agile Methodology| Unit Testing| Design Development| Business Analytics| Big Data| SQL Queries| Spark| Performance Tuning| Test Case Design
 Technical Lead, CSS| Html5| MySQL| Javascript| Bootstrap| JSON| Node.Js| JQuery| Core PHP| Ajax
 Specialist - DV, Javascript| SQL| Python| design studio| Strategy consulting| Front end| big data analytics| QlikView| MATLAB
" Office Assistant, Office Boy", Tea| Coffee| Office Assistance| admin| office assistant| computer operator
 MES camster/apriso/hydra engineer, Oracle database| server| VB.NET| technical| tools| sql| Sql Server 2008| database| design| MS.net| Application development| Test cases| net| deployment| Automation| development| c| oracle| testing| specification| vb| quality| application| PLSQL| pl| support| WIP
 HR PMO Professional, Change management| Excel| Customer satisfaction| Project management| Relationship building| HR policies| HR| Scheduling| Visio| Stakeholder management
 Principal Consultant, Business solutions| Project delivery| Conceptualization| Green field projects| Gap analysis| PDF| Regulatory compliance| account mining| Delivery Lead| Oracle Retail
 Urgent Requirment For Central Processing Center- Mumbai, Accounting Entries| Debit| Communication Skills| Finance| Document Verification| Banking| Problem Solving| Open Office| Dispute Management
 Cognos TM1 Developer (4 6 years), Sql Server 2008| Cognos| MVC| SIDE| server| java| asp.net| Javascript| Problem| developer| ASP.Net MVC| sql
 Smart Web Developer, JAVA| Java| Business Analysts| development| Architects| HTML| Lead Developers| SQL| XML| design| PHP| ios development| PL
 Manager- Compensation and Benefits,vide
 Civil Architect, Architect| Engineering Design| EPC| Civil
 Reconciliation Executive, access controls| Technology| Asset Management| Intellectual Property| Vendor Management| CRM
 Oracle Sales Cloud Developer, oracle sales
 Opening For Sales and Marketing_nariman Point , Sales| Marketing
 Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore, microsoft dynamics ax| strategy implementation| proposal development| business development| resource planning| cost management| enterprise applications| data integrity| microsoft applications| process design| technical consultant
 Business Development Manager-digital / Export, digital marketing| international sales| international marketing| international business development| business development| Export Marketing
 Sr. Software Engineer, Unix| PDF| Deployment| Informatica| Oracle| Teradata| Troubleshooting| Data warehousing
 Website Designer, jQuery| Analytical| Wordpress| Conceptualization| Web designing| Photoshop| Business Executive| CSS3| Ideas
 Tech caller hiring a huge number of Executives., Outbound| Night shift| Recruitment| iPhone| Email| US shift| Troubleshooting| Technical support| Comp| International BPO
